,feat_set,model_name,cv_mean_test_r2,cv_mean_test_mse,cv_mean_test_mae,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae
0,2d+3d+fp,ARDR,0.9519090931649714,0.013166055030375073,0.05995914560927633,0.9999060781753142,4.401009416579348e-05,0.005164834260606182,0.9873303068978366,0.005559457697156667,0.04725568765670888
1,2d+3d+fp,lasso,0.9825629028241417,0.006429181901021226,0.05929981056841632,0.9937490919492581,0.002929064174968943,0.04288516828100475,0.986832516402264,0.005777888023753129,0.05189576553871479
2,2d+3d+fp,omp,-0.5387427911996252,0.39127340371850344,0.23169502647740994,1.0,3.885495826024622e-30,1.3781772880539462e-15,0.9860867315097132,0.006105138220571801,0.06275919253637705
3,2d+3d+fp,gaussian_process,0.9848774991041719,0.00579472367725557,0.05088484448657367,0.9999774249583439,1.0578262426320615e-05,0.002081113227067747,0.9855162448372817,0.00635546760871082,0.04781965706533364
4,2d+3d+fp,bayesian_ridge,0.9850760653838574,0.005489473003203802,0.05087703321613164,0.9993389418170555,0.00030976009013649003,0.011358904307179571,0.98532404564528,0.006439804559001989,0.048332246767971425
5,2d+3d+fp,ridge,0.9858037274644378,0.005288559442398695,0.04990055217585494,0.9988601868656357,0.0005340961330616931,0.01438468490450487,0.9849359117827939,0.006610117586470422,0.0493894589657613
6,2d+3d+fp,gradient_boosting_reg,0.9713360299957887,0.01407654633751466,0.06732433602488913,0.9999951635595805,2.2662698366331678e-06,0.0009406951570730612,0.9848870289521323,0.006631567358535877,0.05455991096324852
7,2d+3d+fp,linear_reg,0.98121802918621,0.006884960753025059,0.05760315519188812,1.0,2.323014242615393e-30,1.0875505922182039e-15,0.9836326970942367,0.0071819678178,0.05460935461637632
8,2d+3d+fp,kernel_ridge,0.9857180270654743,0.005155967661013529,0.05364895148859557,0.9960068739652669,0.001871107736592703,0.0313644765769354,0.9834277059470936,0.00727191787433605,0.05592831940934029
9,2d+3d+fp,random_forest,0.9622493704310664,0.02088637195441597,0.07724683760683768,0.9962751489373206,0.0017453988630490877,0.025733333333333004,0.983304515675496,0.007325973730158715,0.06294880952380952
